Tienda,Periodo,GOS,GOR,Prod,VtaNeta,JEq,ProdMeta,CAPO *,CAPE *,JEqMeta,VtaNetaMeta
P081 La Molina - PVH,202412,Sebastián S,Johanna V,107361,12342686,114.9640389784946,0,118.0,106.0,,0
P291 La Curva - PVH,202511,Sebastián S,Rodolfo O,107341,7489290,69.77075000000004,93487.48100815946,84.5,86.5,80.11008788809214,6537255
P126 Santa Clara - PVH,202506,Sebastián S,Rodolfo O,107293,9844291,91.75186805555553,112997.54221566915,98.5,96.5,87.11951169000655,10265541
SO04 Jaen - PVO,202404,Sofía V,José A,107291,5495693,51.22225694444448,0,61.0,60.0,,0
P064 Miraflores - PVH,202412,Sebastián S,Johanna V,107213,12610184,117.61820564516131,0,117.5,99.0,,0
P223 Cusco Mall - PVH,202509,Sofía V,Joe H,107076,8593179,80.25271527777782,102363.61310532382,101.0,105.0,83.94759758194857,9642057
P117 Izaguirre - PVH,202407,Sebastián S,Vik E,107069,6934056,64.76265456989249,0,76.5,75.5,,0
P104 Arequipa - PVH,202412,Sofía V,Joe H,107050,7859845,73.42223790322578,0,70.5,69.5,,0
SO03 Huanuco - PVO,202406,Sofía V,José A,107033,7427294,69.39260416666662,0,76.5,80.0,,0
P123 El Chacarero - PVH,202512,Sofía V,Melany A,106905,13089041,122.43663306451614,108625.6712844332,88.5,92.5,120.49675583340442,9905528
P226 Paita - PVH,202503,Sofía V,Melany A,106836,5799927,54.28801075268816,85505.53272237552,56.0,60.0,67.83101894507284,5529759
P064 Miraflores - PVH,202606,Sebastián S,Johanna V,106831,9332724,87.35975694444613,87868.82580374254,117.5,99.0,98.00501470036954,8611586
SO05 Tarapoto - PVO,202401,Sofía V,José A,106814,9058449,84.80542338709675,0,86.5,81.5,,0
P146 Tacna - PVH,202410,Sofía V,Joe H,106800,9301387,87.09194892473116,0,96.5,96.0,,0
P225 Cajamarca - PVH,202505,Sofía V,José A,106748,6027624,56.465725806451616,97004.40620687681,64.0,67.0,62.13762947164653,5814137
1593 Aventura SJL - PVH,202504,Sebastián S,Rodolfo O,106490,5654294,53.0967013888889,70926.92722396122,65.5,63.0,79.71999283355125,5127387
1593 Aventura SJL - PVH,202601,Sebastián S,Rodolfo O,106480,6201146,58.23778897849462,96604.2288276168,65.5,63.0,55.3895197170739,5350862
P236 Pisco - PVH,202503,Sofía V,Joe H,106437,5861082,55.06610215053764,105673.0274846556,57.5,56.5,55.464313169707054,5791094
P145 Piura - PVH,202511,Sofía V,Melany A,106338,10432010,98.10247222222223,97686.45406417095,125.0,118.5,106.79075333359053,9407386
P119 Puente Piedra - PVH,202501,Sebastián S,Vik E,106283,9376441,88.22107526881722,110874.79503333212,100.0,98.0,84.56783020145535,9454267
P064 Miraflores - PVH,202511,Sebastián S,Johanna V,106274,9492395,89.32000000000002,100904.94566071444,117.5,99.0,94.07264141360814,8439071
P291 La Curva - PVH,202503,Sebastián S,Rodolfo O,106219,8161892,76.84043010752684,107130.91749358042,84.5,86.5,76.18614850833404,8223943
1593 Aventura SJL - PVH,202505,Sebastián S,Rodolfo O,106130,6023437,56.75536962365592,77060.96109953306,65.5,63.0,78.1645675586636,5068743
P465 Sucre - PVH,202506,Sebastián S,Vik E,106091,8553825,80.62721527777774,114344.8686996313,101.5,97.5,74.80724983356934,9427621
P769 Chiclayo Aventura - PVH,202403,Sofía V,Melany A,106076,6488249,61.166122311827955,0,59.5,55.5,,0
P146 Tacna - PVH,202510,Sofía V,Joe H,106030,9006152,84.93991935483875,112139.60160015043,96.5,96.0,80.31197098517173,8643706
P516 Ilo - PVH,202412,Sofía V,Joe H,105979,7231168,68.2317943548387,0,62.0,58.0,,0
P119 Puente Piedra - PVH,202407,Sebastián S,Vik E,105965,9803615,92.5172311827957,0,100.0,98.0,,0
P723 Puruchuco - PVH,202603,Sebastián S,Rodolfo O,105964,9971997,94.10761424731187,111233.83704237548,94.5,97.0,83.18443566120098,9252924
P064 Miraflores - PVH,202604,Sebastián S,Johanna V,105948,9158680,86.44475000000189,96861.10709459646,117.5,99.0,98.00501470036954,9492874
P145 Piura - PVH,202601,Sofía V,Melany A,105915,9845910,92.96065860215047,92458.434258054,125.0,118.5,102.97612103755296,9521011
P126 Santa Clara - PVH,202408,Sebastián S,Rodolfo O,105846,9999369,94.47135080645162,0,98.5,96.5,,0
P122 Ica - PVH,202401,Sofía V,Joe H,105832,6231859,58.884348118279554,0,71.0,74.5,,0
P146 Tacna - PVH,202401,Sofía V,Joe H,105783,9050374,85.55613575268819,0,96.5,96.0,,0
P146 Tacna - PVH,202507,Sofía V,Joe H,105782,9396947,88.83286962365591,113761.80784609295,96.5,96.0,82.60194785857325,9645197
P216 Proceres - PVS,202603,Hernán P,Daniel R,105768,1258609,11.899764784946232,85152.73266767804,15.0,15.0,13.971887755419019,1189744
1198 Cusco Wanchaq - PVH,202512,Sofía V,Joe H,105765,3860864,36.504200268817186,84062.6609739395,41.5,35.5,45.92840620637642,2990896
P147 Juliaca - PVH,202411,Sofía V,Joe H,105761,9358420,88.48665972222227,0,94.0,92.0,,0
P229 Salaverry - PVH,202503,Sebastián S,Johanna V,105616,9287982,87.94135752688169,101104.94861025721,104.5,99.0,91.86475991203582,9869013
P119 Puente Piedra - PVH,202401,Sebastián S,Vik E,105595,9060334,85.80264112903222,0,100.0,98.0,,0
P010 Caminos del Inca - PVS,202412,Hernán P,Daniel R,105552,14365631,136.1001344086021,0,140.5,125.5,,0
P010 Caminos del Inca - PVS,202504,Hernán P,Daniel R,105546,11784903,111.65656249999994,95444.22930687462,140.5,125.5,123.47422998313387,12212836
P119 Puente Piedra - PVH,202502,Sebastián S,Vik E,105517,9714100,92.06223958333331,99095.377054368,100.0,98.0,98.02777837628516,9605863
P125 SJ Lurigancho - PVH,202511,Sebastián S,Rodolfo O,105505,5812994,55.09704861111112,90585.84126053749,65.5,66.0,64.17110543005303,6105832
P143 Nvo Chimbote - PVH,202605,Sofía V,Melany A,105498,4820413,45.69198252688226,100614.73024686392,55.0,50.5,48.49399124490603,4879210
P010 Caminos del Inca - PVS,202508,Hernán P,Daniel R,105495,11808830,111.93780913978495,104533.06841877493,140.5,125.5,112.96740656929809,12074434
P147 Juliaca - PVH,202403,Sofía V,Joe H,105445,8777630,83.24336021505377,0,94.0,92.0,,0
P010 Caminos del Inca - PVS,202401,Hernán P,Daniel R,105427,11061633,104.92176747311835,0,140.5,125.5,,0
P084 Comas - PVH,202603,Sebastián S,Vik E,105327,7166385,68.03915322580644,113522.21694288925,75.5,74.0,63.84593494105465,7247932
P143 Nvo Chimbote - PVH,202511,Sofía V,Melany A,105251,4807212,45.673833333333334,95769.3083377676,55.0,50.5,50.19574948840085,4656231
P203 Rimac Alcazar - PVH,202503,Sebastián S,Vik E,105249,5983425,56.849926075268826,101000.18468849287,65.0,67.5,59.24172117560199,5893246
P146 Tacna - PVH,202505,Sofía V,Joe H,105127,9273271,88.21011424731182,101733.64098081054,96.5,96.0,91.15245193818598,8621026
P119 Puente Piedra - PVH,202405,Sebastián S,Vik E,105123,9373318,89.16494623655916,0,100.0,98.0,,0
P075 Trujillo - PVH,202407,Sofía V,Melany A,105060,12100429,115.17681451612901,0,99.0,32.5,,0
P010 Caminos del Inca - PVS,202511,Hernán P,Daniel R,105039,11882743,113.12656249999999,104116.42340851264,140.5,125.5,114.12938546089607,11981475
P064 Miraflores - PVH,202403,Sebastián S,Johanna V,105013,9829525,93.60270161290322,0,117.5,99.0,,0
P333 Ves Placita - PVH,202502,Sebastián S,Rodolfo O,104993,6209815,59.14515625,89755.75204109748,68.5,66.0,69.18570274088552,5537651
P229 Salaverry - PVH,202601,Sebastián S,Johanna V,104947,9145687,87.14562500000005,97460.26237958053,104.5,99.0,90.28098269047439,8798808
P119 Puente Piedra - PVH,202406,Sebastián S,Vik E,104938,9501968,90.54854861111116,0,100.0,98.0,,0
P114 Pro - PVH,202510,Sebastián S,Vik E,104920,7593715,72.37656586021504,96507.93133860851,88.0,84.0,78.68488511432938,9069877
P146 Tacna - PVH,202406,Sofía V,Joe H,104900,9114866,86.89104861111106,0,96.5,96.0,,0
P229 Salaverry - PVH,202605,Sebastián S,Johanna V,104885,9618226,91.70291666666733,102075.57540877689,104.5,99.0,90.28098269047439,9215483
P048 Higuereta - PVH,202507,Sebastián S,Johanna V,104832,8588566,81.92719086021508,88354.1999010769,106.0,102.5,97.2060810874404,9530104
P221 Barranca - PVH,202603,Sofía V,José A,104742,3340842,31.896055107526877,111581.22958064523,32.5,32.0,29.073700348097926,3244079
SO03 Huanuco - PVO,202402,Sofía V,José A,104734,7399676,70.65237787356324,0,76.5,80.0,,0
P224 Brena - PVH,202503,Sebastián S,Vik E,104701,7134988,68.14650537634412,90197.58534115777,80.0,78.0,79.10397593253813,7037984
P333 Ves Placita - PVH,202501,Sebastián S,Rodolfo O,104694,6017118,57.473151881720426,96639.06192154194,68.5,66.0,62.26382676277526,5738302
P048 Higuereta - PVH,202412,Sebastián S,Johanna V,104673,12036273,114.9893951612903,0,106.0,102.5,,0
P146 Tacna - PVH,202508,Sofía V,Joe H,104630,8757570,83.70052419354846,102265.09066150687,96.5,96.0,85.6359673995419,8700331
P048 Higuereta - PVH,202506,Sebastián S,Johanna V,104612,8602758,82.23473611111116,91546.12318785429,106.0,102.5,93.97184567113764,9434213
P465 Sucre - PVH,202409,Sebastián S,Vik E,104556,8542833,81.70570138888887,0,101.5,97.5,,0
P225 Cajamarca - PVH,202601,Sofía V,José A,104552,5704413,54.560295698924726,108585.22098968561,64.0,67.0,56.429371630436094,6127396
P064 Miraflores - PVH,202401,Sebastián S,Johanna V,104520,9077716,86.8514180107527,0,117.5,99.0,,0
P115 Huancayo - PVH,202403,Sofía V,José A,104516,10898452,104.27534946236558,0,107.5,102.5,,0
P048 Higuereta - PVH,202509,Sebastián S,Johanna V,104493,7953297,76.11338194444451,89214.78927303458,106.0,102.5,89.14774495133967,9511064
P291 La Curva - PVH,202605,Sebastián S,Rodolfo O,104477,8049012,77.040974462366,108158.1278988328,84.5,86.5,71.45670864263732,7728624
P145 Piura - PVH,202605,Sofía V,Melany A,104467,10814175,103.51715725806233,101566.29016435651,125.0,118.5,102.97612103755296,10458903
P223 Cusco Mall - PVH,202404,Sofía V,Joe H,104416,8472470,81.14113194444444,0,101.0,105.0,,0
P143 Nvo Chimbote - PVH,202503,Sofía V,Melany A,104398,5393702,51.66465725806451,100722.13644935125,55.0,50.5,53.5503165454821,5049256
P143 Nvo Chimbote - PVH,202601,Sofía V,Melany A,104369,4842988,46.402379032258075,101226.74992885116,55.0,50.5,48.49399124490603,4908889
P143 Nvo Chimbote - PVH,202401,Sofía V,Melany A,104320,4733448,45.37411290322582,0,55.0,50.5,,0
P223 Cusco Mall - PVH,202411,Sofía V,Joe H,104278,9759954,93.59539583333341,0,101.0,105.0,,0
P102 Chiclayo - PVH,202407,Sofía V,Melany A,104261,9242000,88.64281586021507,0,96.5,94.0,,0
P333 Ves Placita - PVH,202407,Sebastián S,Rodolfo O,104251,6433148,61.70810483870968,0,68.5,66.0,,0
P126 Santa Clara - PVH,202411,Sebastián S,Rodolfo O,104243,9797913,93.99084722222231,0,98.5,96.5,,0
P130 Chimbote - PVH,202407,Sofía V,Melany A,104222,6385224,61.265665322580645,0,75.5,68.0,,0
P724 Tumbes - PVH,202408,Sofía V,Melany A,104204,6413887,61.55140456989247,0,72.5,68.5,,0
P139 Alameda Sur - PVS,202605,Hernán P,Daniel R,104197,6795114,65.21403225806455,99696.07487266147,79.5,72.5,64.20980276983204,6401465
P216 Proceres - PVS,202412,Hernán P,Daniel R,104153,1602803,15.388944892473123,0,15.0,15.0,,0
SO05 Tarapoto - PVO,202606,Sofía V,José A,104113,6863597,65.92463888888939,89439.85220856783,86.5,81.5,76.26782259426129,6821383
P465 Sucre - PVH,202601,Sebastián S,Vik E,104072,8408861,80.79848790322583,111207.44818367474,101.5,97.5,87.68918414433637,9751690
P089 Risso - PVH,202603,Sebastián S,Vik E,104067,5004846,48.092634408602144,96521.80478597185,61.5,48.5,53.715920394326645,5184758
P102 Chiclayo - PVH,202606,Sofía V,Melany A,104027,8215276,78.97244444444706,95403.11434081617,96.5,94.0,87.75356401461035,8371963
P291 La Curva - PVH,202602,Sebastián S,Rodolfo O,103990,7142513,68.68463541666665,83669.80798542606,84.5,86.5,71.45670864263732,5978769
P115 Huancayo - PVH,202510,Sofía V,José A,103983,9119866,87.70543682795697,99384.67844429176,107.5,102.5,91.76329694633945,10093394
P516 Ilo - PVH,202604,Sofía V,Joe H,103979,5259503,50.582534722221894,91060.88478797158,62.0,58.0,54.66595376698497,4977930
P146 Tacna - PVH,202509,Sofía V,Joe H,103970,8419613,80.9814930555556,107285.70031447147,96.5,96.0,78.47842755670862,8498994
P516 Ilo - PVH,202511,Sofía V,Joe H,103893,5197912,50.03123611111114,81786.93112573013,62.0,58.0,63.554305173882966,4632150
P147 Juliaca - PVH,202601,Sofía V,Joe H,103868,8907904,85.76152553763443,104111.1328838845,94.0,92.0,81.93317456466171,8530156
P139 Alameda Sur - PVS,202503,Hernán P,Daniel R,103843,6146098,59.18631720430107,104169.13278526044,79.5,72.5,59.0011398354432,6731883
P075 Trujillo - PVH,202405,Sofía V,Melany A,103839,11484835,110.60258736559145,0,99.0,32.5,,0
P225 Cajamarca - PVH,202507,Sofía V,José A,103815,5811456,55.978783602150536,106679.43654334055,64.0,67.0,54.47587406068633,5992597
P125 SJ Lurigancho - PVH,202604,Sebastián S,Rodolfo O,103783,5786403,55.754708333333504,101888.5814404028,65.5,66.0,55.81234047827294,5686640
P229 Salaverry - PVH,202507,Sebastián S,Johanna V,103778,8574597,82.62413306451616,97893.27758425716,104.5,99.0,87.59127451443032,9216670
P465 Sucre - PVH,202509,Sebastián S,Vik E,103778,7888987,76.01795833333344,109783.95235610599,101.5,97.5,71.85919782164983,9239548
P291 La Curva - PVH,202604,Sebastián S,Rodolfo O,103768,7449348,71.78869444444675,98747.2944379316,84.5,86.5,71.45670864263732,7056157
P465 Sucre - PVH,202606,Sebastián S,Vik E,103752,8676751,83.62963194444625,97941.74606828869,101.5,97.5,87.68918414433637,8588432
P126 Santa Clara - PVH,202410,Sebastián S,Rodolfo O,103750,9074197,87.46255376344085,0,98.5,96.5,,0
P195 San Borja - PVH,202512,Sebastián S,Johanna V,103735,12064039,116.29709677419346,108798.93202368998,123.0,115.5,110.88380194185328,13591580
P037 Jockey Plaza - PVH,202512,Sebastián S,Johanna V,103723,7356985,70.9288642473118,101230.36323971218,75.5,70.5,72.67567589951993,8197903
P089 Risso - PVH,202604,Sebastián S,Vik E,103649,4339266,41.865201388888956,82142.35177967878,61.5,48.5,53.715920394326645,4412352
P225 Cajamarca - PVH,202504,Sofía V,José A,103643,5696436,54.961909722222224,100031.36786322236,64.0,67.0,56.94650139933115,5896757
P769 Chiclayo Aventura - PVH,202601,Sofía V,Melany A,103626,5335932,51.49215053763443,97349.23859155555,59.5,55.5,53.27894958029915,5186665
P122 Ica - PVH,202403,Sofía V,Joe H,103624,7254425,70.00705645161288,0,71.0,74.5,,0
P195 San Borja - PVH,202412,Sebastián S,Johanna V,103618,12445404,120.10847446236545,0,123.0,115.5,,0
P123 El Chacarero - PVH,202603,Sofía V,Melany A,103607,11748511,113.39538978494626,105455.03454863922,88.5,92.5,102.97612103755296,10859350
P061 Cortijo - PVH,202512,Sebastián S,Johanna V,103503,10109540,97.67380376344077,108346.24989095044,103.0,91.0,93.30770442147427,11801559
P123 El Chacarero - PVH,202412,Sofía V,Melany A,103453,9538930,92.20543010752691,0,88.5,92.5,,0
P259 Moquegua - PVH,202605,Sofía V,Joe H,103452,6363639,61.51301747311833,97975.94445110651,68.0,68.5,60.397061823201135,5917459
P141 Chosica - PVH,202512,Sebastián S,Rodolfo O,103430,6147743,59.43893817204298,101166.52415063954,55.0,55.5,60.768545836821026,6049672
P064 Miraflores - PVH,202601,Sebastián S,Johanna V,103414,9608067,92.90919354838714,101902.16827917419,117.5,99.0,98.00501470036954,9986924
P231 Ventanilla - PVH,202604,Sebastián S,Vik E,103380,7169021,69.34627777777992,99623.48273800543,77.0,79.0,66.09086292651952,6584202
P225 Cajamarca - PVH,202606,Sofía V,José A,103380,6223966,60.20490972222288,109670.88494854062,64.0,67.0,56.429371630436094,6188659
P333 Ves Placita - PVH,202507,Sebastián S,Rodolfo O,103374,6525847,63.12847446236562,109463.83199022974,68.5,66.0,59.6164704025935,6680725
P229 Salaverry - PVH,202506,Sebastián S,Johanna V,103371,8327283,80.55697222222223,98573.29741231081,104.5,99.0,84.47808228600464,9067215
P291 La Curva - PVH,202601,Sebastián S,Rodolfo O,103325,7085026,68.57008064516131,92918.43740110646,84.5,86.5,71.45670864263732,6639646
P215 Magdalena - PVS,202412,Hernán P,Daniel R,103296,1294230,12.52929435483871,0,15.5,14.5,,0
P465 Sucre - PVH,202410,Sebastián S,Vik E,103295,9116318,88.25518145161286,0,101.5,97.5,,0
P229 Salaverry - PVH,202603,Sebastián S,Johanna V,103281,10031409,97.12739919354844,107255.99946334741,104.5,99.0,90.28098269047439,9683177
SO02 Pucallpa - PVO,202604,Sofía V,José A,103261,8897255,86.16270833333422,100543.54936594672,93.5,94.0,84.61950815694568,8507946
P133 Guardia Civil - PVH,202403,Sebastián S,Rodolfo O,103251,7831187,75.84598790322585,0,81.0,77.0,,0
P223 Cusco Mall - PVH,202501,Sofía V,Joe H,103200,9282853,89.95018817204299,114272.86362883345,101.0,105.0,81.23410138868476,8992925
P225 Cajamarca - PVH,202605,Sofía V,José A,103191,6681528,64.74896505376336,129036.53785101924,64.0,67.0,56.429371630436094,7281451
P061 Cortijo - PVH,202412,Sebastián S,Johanna V,103187,10313874,99.9533198924731,0,103.0,91.0,,0
P119 Puente Piedra - PVH,202506,Sebastián S,Vik E,103181,9081086,88.01104861111105,110184.71545965473,100.0,98.0,82.416928991618,9641725
SO05 Tarapoto - PVO,202405,Sofía V,José A,103105,9379226,90.9678696236558,0,86.5,81.5,,0
P236 Pisco - PVH,202604,Sofía V,Joe H,102922,5286315,51.362402777778726,96590.51142513115,57.5,56.5,50.69826357421992,4896971
P139 Alameda Sur - PVS,202604,Hernán P,Daniel R,102894,6576733,63.91758333333544,99294.1072479902,79.5,72.5,64.20980276983204,6375655
P201 Huaral - PVH,202512,Sofía V,José A,102854,5290162,51.433864247311824,105900.35026991833,52.0,52.0,49.95415299870547,5300068
P081 La Molina - PVH,202512,Sebastián S,Johanna V,102850,11841962,115.13772177419348,112729.34108921043,118.0,106.0,105.04773633537563,14076508
P769 Chiclayo Aventura - PVH,202602,Sofía V,Melany A,102838,5666972,55.10598958333334,95553.78787314701,59.5,55.5,53.27894958029915,5091005
P225 Cajamarca - PVH,202401,Sofía V,José A,102815,5046496,49.08326612903227,0,64.0,67.0,,0
P001 Los Olivos - PVH,202503,Sebastián S,Vik E,102802,6281500,61.102661290322565,106528.23926598164,66.0,64.5,58.965590094061696,6643393
P080 Bolichera - PVH,202603,Sebastián S,Rodolfo O,102717,7622920,74.21256048387099,98419.85838630752,80.0,80.5,67.65132179184599,6658234
P146 Tacna - PVH,202504,Sofía V,Joe H,102713,9131449,88.9023819444445,105764.91457405484,96.5,96.0,86.33722748961625,8686929
P223 Cusco Mall - PVH,202405,Sofía V,Joe H,102704,8456427,82.33806451612907,0,101.0,105.0,,0
P064 Miraflores - PVH,202603,Sebastián S,Johanna V,102699,9593285,93.41198924731185,112846.3307230982,117.5,99.0,98.00501470036954,11059506
P225 Cajamarca - PVH,202411,Sofía V,José A,102697,5538678,53.932229166666644,0,64.0,67.0,,0
SO02 Pucallpa - PVO,202508,Sofía V,José A,102648,8634732,84.12019489247312,98718.62778120463,93.5,94.0,87.4681141145683,9003515
P172 Puno - PVH,202603,Sofía V,Joe H,102580,7675902,74.82821236559141,102875.14360808075,79.5,81.5,68.773296674594,7075063
SO02 Pucallpa - PVO,202606,Sofía V,José A,102565,8822885,86.02265972222362,101835.5022014233,93.5,94.0,84.61950815694568,8617270
SO06 Tarapoto 2 - PVO,202512,Sofía V,José A,102528,8877834,86.58896505376347,0,84.0,76.0,Infinity,
P061 Cortijo - PVH,202605,Sebastián S,Johanna V,102522,8338573,81.33473118279525,98333.60914893774,103.0,91.0,85.91077884372821,8447917
P066 Ate - PVH,202503,Sebastián S,Rodolfo O,102480,6496963,63.39765456989248,89252.10115453781,64.5,64.0,72.793394619928,6453247
P001 Los Olivos - PVH,202512,Sebastián S,Vik E,102458,6578609,64.20792338709677,119088.21621592755,66.0,64.5,55.24147433757716,7971250
P231 Ventanilla - PVH,202601,Sebastián S,Vik E,102430,6901710,67.3797983870968,91958.51028692357,77.0,79.0,66.09086292651952,6077617
P104 Arequipa - PVH,202511,Sofía V,Joe H,102422,6037489,58.94714583333337,98639.32736121016,70.5,69.5,61.20773044093402,5336325
P262 Talara Municipalidad - PVH,202412,Sofía V,Melany A,102412,6928570,67.6541061827957,0,60.5,60.5,,0
P202 LurIn - PVH,202403,Sebastián S,Rodolfo O,102381,7586531,74.10125672043009,0,78.0,74.5,,0
P231 Ventanilla - PVH,202406,Sebastián S,Vik E,102380,7020747,68.57569444444444,0,77.0,79.0,,0
P227 San Isidro - PVH,202605,Sebastián S,Johanna V,102379,5433265,53.07002016129099,101996.01040504016,68.0,60.5,56.71779574149045,5784989
P229 Salaverry - PVH,202504,Sebastián S,Johanna V,102328,8555235,83.6061041666667,91661.89969952666,104.5,99.0,93.33469432822783,9247994
P465 Sucre - PVH,202404,Sebastián S,Vik E,102323,9036091,88.30932638888892,0,101.5,97.5,,0
1593 Aventura SJL - PVH,202507,Sebastián S,Rodolfo O,102293,6066310,59.303407258064524,92686.13105866843,65.5,63.0,65.45002624136019,6093701
P259 Moquegua - PVH,202412,Sofía V,Joe H,102210,7504821,73.425813172043,0,68.0,68.5,,0
P146 Tacna - PVH,202409,Sofía V,Joe H,102177,8979192,87.87892361111113,0,96.5,96.0,,0
P066 Ate - PVH,202412,Sebastián S,Rodolfo O,102168,7437277,72.79440188172045,0,64.5,64.0,,0
P132 El Ejercito - PVS,202512,Hernán P,Daniel R,102163,4434770,43.408655913978464,92957.42936222223,53.5,52.0,47.70753387251353,4821563
P114 Pro - PVH,202406,Sebastián S,Vik E,102147,8107532,79.37090972222222,0,88.0,84.0,,0
P059 Callao - PVH,202512,Sebastián S,Vik E,102130,5573949,54.577137096774194,106224.3500749313,60.5,57.5,52.47336600382213,5963632
P084 Comas - PVH,202503,Sebastián S,Vik E,102072,7340456,71.91465053763443,105753.88720346721,75.5,74.0,69.4107478609953,7876611
P291 La Curva - PVH,202403,Sebastián S,Rodolfo O,102029,8159013,79.96723790322581,0,84.5,86.5,,0
P227 San Isidro - PVH,202412,Sebastián S,Johanna V,101988,6589805,64.6134811827957,0,68.0,60.5,,0
P291 La Curva - PVH,202606,Sebastián S,Rodolfo O,101949,7280441,71.4127361111134,97544.19113758302,84.5,86.5,71.45670864263732,6970187
SO02 Pucallpa - PVO,202503,Sofía V,José A,101909,9051269,88.81706317204288,106696.73930929552,93.5,94.0,84.83172586710381,9225635
P724 Tumbes - PVH,202507,Sofía V,Melany A,101845,6168740,60.57013440860213,116844.36090225566,72.5,68.5,52.79450529204712,7185540
P133 Guardia Civil - PVH,202407,Sebastián S,Rodolfo O,101825,7042900,69.16682123655913,0,81.0,77.0,,0
P229 Salaverry - PVH,202408,Sebastián S,Johanna V,101810,8822377,86.65562500000004,0,104.5,99.0,,0
P048 Higuereta - PVH,202606,Sebastián S,Johanna V,101784,9047987,88.89431250000234,93926.93543128847,106.0,102.5,90.06082213539496,8459137
P117 Izaguirre - PVH,202602,Sebastián S,Vik E,101711,6710236,65.97385416666667,92254.83301149732,76.5,75.5,67.6979715753391,6245465
P139 Alameda Sur - PVS,202508,Hernán P,Daniel R,101703,6007036,59.064569892473145,99478.1040940115,79.5,72.5,60.38551070819632,6001323
P064 Miraflores - PVH,202504,Sebastián S,Johanna V,101661,9576095,94.19647222222221,103826.72737841868,117.5,99.0,92.23150360020378,9879676
P229 Salaverry - PVH,202604,Sebastián S,Johanna V,101623,9111030,89.65522222222428,98771.10941151569,104.5,99.0,90.28098269047439,8917153
SO02 Pucallpa - PVO,202403,Sofía V,José A,101616,8997767,88.54680107526879,0,93.5,94.0,,0
P147 Juliaca - PVH,202510,Sofía V,Joe H,101606,8475539,83.41567876344082,100628.78106173531,94.0,92.0,84.22579117598865,8006547
P225 Cajamarca - PVH,202407,Sofía V,José A,101599,6141428,60.447446236559145,0,64.0,67.0,,0
SO03 Huanuco - PVO,202405,Sofía V,José A,101585,7281319,71.6772715053763,0,76.5,80.0,,0
P146 Tacna - PVH,202502,Sofía V,Joe H,101574,9381120,92.35713541666668,99220.84508990809,96.5,96.0,94.5478747081763,8613283
P115 Huancayo - PVH,202407,Sofía V,José A,101554,11001575,108.33215053763442,0,107.5,102.5,,0
P172 Puno - PVH,202605,Sofía V,Joe H,101518,6988920,68.84382392473066,99753.26055780501,79.5,81.5,68.773296674594,6860361
P048 Higuereta - PVH,202504,Sebastián S,Johanna V,101484,8798544,86.69854861111112,84897.29014856524,106.0,102.5,103.63751062728936,9604933
P229 Salaverry - PVH,202508,Sebastián S,Johanna V,101457,8808163,86.81684139784947,106900.10800222137,104.5,99.0,82.39620711905143,9124119
P001 Los Olivos - PVH,202403,Sebastián S,Vik E,101455,6684313,65.88420698924735,0,66.0,64.5,,0
P203 Rimac Alcazar - PVH,202603,Sebastián S,Vik E,101328,6302852,62.2024798387097,107300.29933535568,65.0,67.5,56.77292399400376,6091752
P132 El Ejercito - PVS,202503,Hernán P,Daniel R,101315,4555194,44.960557795698925,94115.95641483829,53.5,52.0,48.39980215386548,4583728
P119 Puente Piedra - PVH,202509,Sebastián S,Vik E,101268,8605098,84.97343750000005,99976.0598829089,100.0,98.0,86.07158363790506,9193875
P724 Tumbes - PVH,202505,Sofía V,Melany A,101268,6101716,60.25329973118275,88919.11556046548,72.5,68.5,68.6209696479808,6011564
P333 Ves Placita - PVH,202408,Sebastián S,Rodolfo O,101264,5843283,57.70319220430107,0,68.5,66.0,,0
P064 Miraflores - PVH,202503,Sebastián S,Johanna V,101253,10716261,105.83665994623654,110263.92556683689,117.5,99.0,97.1873724331019,10006218
P117 Izaguirre - PVH,202604,Sebastián S,Vik E,101240,6235449,61.59076388888976,90383.2495644365,76.5,75.5,67.6979715753391,6118763
P465 Sucre - PVH,202502,Sebastián S,Vik E,101225,8598782,84.94697916666668,97945.2788355838,101.5,97.5,87.79169422177434,8660241
P259 Moquegua - PVH,202603,Sofía V,Joe H,101192,6761612,66.81984543010753,106946.64545616548,68.0,68.5,60.397061823201135,6459263
P059 Callao - PVH,202412,Sebastián S,Vik E,101166,5620953,55.561653225806445,0,60.5,57.5,,0
P231 Ventanilla - PVH,202602,Sebastián S,Vik E,101126,6795456,67.19770833333334,89023.40326743021,77.0,79.0,66.09086292651952,5883634
P115 Huancayo - PVH,202509,Sofía V,José A,101125,9042962,89.42344444444451,101303.30576405319,107.5,102.5,89.26620915078605,9808966
P143 Nvo Chimbote - PVH,202508,Sofía V,Melany A,101084,4491491,44.43339381720432,97053.93634099144,55.0,50.5,46.278301832287326,4802678
P221 Barranca - PVH,202503,Sofía V,José A,101057,3275379,32.41127016129034,94599.71292597958,32.5,32.0,34.62355760596071,3042437
P465 Sucre - PVH,202401,Sebastián S,Vik E,101011,9161303,90.69652553763443,0,101.5,97.5,,0
P172 Puno - PVH,202511,Sofía V,Joe H,101003,6850586,67.82557638888892,88695.02805027,79.5,81.5,77.23754713868817,6438372
P068 Primavera - PVH,202412,Sebastián S,Rodolfo O,100994,6900795,68.32893817204301,0,66.5,63.5,,0
